"county","cbsa10","cbsatype10","cntyname","cbsaname10","pop10","afact"
"county","cbsa10","cbsatype10","cntyname","2010 CBSA Name","Total Pop, 2010 census","county to cbsatype10 alloc factor"
"01001","33860","Metro","Autauga AL","Montgomery, AL Metropolitan Statistical Area",54571,1 
"01003","19300","Micro","Baldwin AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",182265,1 
"01005","21640","Micro","Barbour AL","Eufaula, AL-GA Micropolitan Statistical Area",27457,1 
"01007","13820","Metro","Bibb AL","Birmingham-Hoover, AL Metropolitan Statistical Area",22915,1 
"01009","13820","Metro","Blount AL","Birmingham-Hoover, AL Metropolitan Statistical Area",57322,1 
"01011","99999"," ","Bullock AL","99999",10914,1 
"01013","99999"," ","Butler AL","99999",20947,1 
"01015","11500","Metro","Calhoun AL","Anniston-Oxford, AL Metropolitan Statistical Area",118572,1 
"01017","46740","Micro","Chambers AL","Valley, AL Micropolitan Statistical Area",34215,1 
"01019","99999"," ","Cherokee AL","99999",25989,1 
"01021","13820","Metro","Chilton AL","Birmingham-Hoover, AL Metropolitan Statistical Area",43643,1 
"01023","99999"," ","Choctaw AL","99999",13859,1 
"01025","99999"," ","Clarke AL","99999",25833,1 
"01027","99999"," ","Clay AL","99999",13932,1 
"01029","99999"," ","Cleburne AL","99999",14972,1 
"01031","21460","Micro","Coffee AL","Enterprise-Ozark, AL Micropolitan Statistical Area",49948,1 
"01033","22520","Metro","Colbert AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",54428,1 
"01035","99999"," ","Conecuh AL","99999",13228,1 
"01037","10760","Micro","Coosa AL","Alexander City, AL Micropolitan Statistical Area",11539,1 
"01039","99999"," ","Covington AL","99999",37765,1 
"01041","99999"," ","Crenshaw AL","99999",13906,1 
"01043","18980","Micro","Cullman AL","Cullman, AL Micropolitan Statistical Area",80406,1 
"01045","21460","Micro","Dale AL","Enterprise-Ozark, AL Micropolitan Statistical Area",50251,1 
"01047","42820","Micro","Dallas AL","Selma, AL Micropolitan Statistical Area",43820,1 
"01049","22840","Micro","DeKalb AL","Fort Payne, AL Micropolitan Statistical Area",71109,1 
"01051","33860","Metro","Elmore AL","Montgomery, AL Metropolitan Statistical Area",79303,1 
"01053","99999"," ","Escambia AL","99999",38319,1 
"01055","23460","Metro","Etowah AL","Gadsden, AL Metropolitan Statistical Area",104430,1 
"01057","99999"," ","Fayette AL","99999",17241,1 
"01059","99999"," ","Franklin AL","99999",31704,1 
"01061","20020","Metro","Geneva AL","Dothan, AL Metropolitan Statistical Area",26790,1 
"01063","46220","Metro","Greene AL","Tuscaloosa, AL Metropolitan Statistical Area",9045,1 
"01065","46220","Metro","Hale AL","Tuscaloosa, AL Metropolitan Statistical Area",15760,1 
"01067","20020","Metro","Henry AL","Dothan, AL Metropolitan Statistical Area",17302,1 
"01069","20020","Metro","Houston AL","Dothan, AL Metropolitan Statistical Area",101547,1 
"01071","42460","Micro","Jackson AL","Scottsboro, AL Micropolitan Statistical Area",53227,1 
"01073","13820","Metro","Jefferson AL","Birmingham-Hoover, AL Metropolitan Statistical Area",658466,1 
"01075","99999"," ","Lamar AL","99999",14564,1 
"01077","22520","Metro","Lauderdale AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",92709,1 
"01079","19460","Metro","Lawrence AL","Decatur, AL Metropolitan Statistical Area",34339,1 
"01081","12220","Metro","Lee AL","Auburn-Opelika, AL Metropolitan Statistical Area",140247,1 
"01083","26620","Metro","Limestone AL","Huntsville, AL Metropolitan Statistical Area",82782,1 
"01085","33860","Metro","Lowndes AL","Montgomery, AL Metropolitan Statistical Area",11299,1 
"01087","46260","Micro","Macon AL","Tuskegee, AL Micropolitan Statistical Area",21452,1 
"01089","26620","Metro","Madison AL","Huntsville, AL Metropolitan Statistical Area",334811,1 
"01091","99999"," ","Marengo AL","99999",21027,1 
"01093","99999"," ","Marion AL","99999",30776,1 
"01095","10700","Micro","Marshall AL","Albertville, AL Micropolitan Statistical Area",93019,1 
"01097","33660","Metro","Mobile AL","Mobile, AL Metropolitan Statistical Area",412992,1 
"01099","99999"," ","Monroe AL","99999",23068,1 
